item,count,rank
356,329,1
318,317,2
296,307,3
593,279,4
2571,278,5
260,251,6
480,238,7
110,237,8
589,224,9
527,220,10
2959,218,11
1,215,12
1196,211,13
50,204,14
2858,204,15
47,203,16
780,202,17
150,201,18
1198,200,19
4993,198,20
1210,196,21
858,192,22
457,190,23
592,189,24
5952,188,25
2028,188,26
7153,185,27
588,183,28
608,181,29
2762,179,30
380,178,31
32,177,32
364,172,33
1270,171,34
377,171,35
3578,170,36
4306,170,37
1580,165,38
590,164,39
648,162,40
344,161,41
4226,159,42
367,157,43
58559,149,44
6539,149,45
1214,146,46
595,146,47
1036,145,48
165,144,49
500,144,50
1265,143,51
79132,143,52
1197,142,53
6377,141,54
1704,141,55
316,140,56
2628,140,57
1291,140,58
1721,140,59
153,137,60
1136,136,61
597,135,62
293,133,63
1193,133,64
3793,133,65
231,133,66
4886,132,67
10,132,68
1089,131,69
7361,131,70
6874,131,71
1240,131,72
1221,129,73
2329,129,74
34,128,75
1200,126,76
1213,126,77
1682,125,78
8961,125,79
541,124,80
4995,123,81
736,123,82
5349,122,83
1097,122,84
2683,121,85
733,121,86
2716,120,87
1206,120,88
4973,120,89
5445,120,90
1073,119,91
4963,119,92
586,116,93
33794,116,94
1527,116,95
208,115,96
587,115,97
5989,115,98
1968,113,99
185,112,100
5418,112,101
3147,111,102
3996,110,103
349,110,104
2,110,105
7438,110,106
2918,109,107
1258,109,108
924,109,109
4878,109,110
253,109,111
2115,108,112
329,108,113
1208,107,114
4896,107,115
48516,107,116
539,106,117
1732,106,118
1923,105,119
68954,105,120
223,104,121
60069,104,122
39,104,123
111,104,124
2706,103,125
357,103,126
161,103,127
6,102,128
778,102,129
5816,102,130
1222,102,131
292,101,132
434,101,133
454,101,134
1517,100,135
44191,100,136
912,100,137
4022,100,138
104,99,139
2997,99,140
339,98,141
72998,97,142
3114,97,143
750,97,144
2987,97,145
1617,97,146
3949,96,147
1784,96,148
6365,96,149
1961,96,150
59315,94,151
4027,94,152
2502,94,153
4011,93,154
8368,93,155
551,93,156
919,92,157
288,92,158
2396,92,159
5378,92,160
8360,92,161
2355,92,162
1917,92,163
1259,91,164
1387,91,165
3948,91,166
1356,91,167
2797,91,168
2174,91,169
48780,90,170
1610,90,171
21,89,172
1080,89,173
2012,88,174
2916,88,175
19,88,176
68157,88,177
2324,88,178
2791,87,179
2011,87,180
5618,87,181
2617,87,182
1391,86,183
1653,86,184
1246,86,185
141,86,186
1393,85,187
1307,85,188
5218,85,189
32587,84,190
904,84,191
1220,84,192
410,84,193
95,84,194
1219,83,195
3897,83,196
1101,83,197
788,82,198
16,82,199
1584,82,200
300,81,201
49272,81,202
54286,81,203
317,81,204
48394,81,205
442,81,206
51662,80,207
1676,80,208
2291,80,209
62,80,210
3052,79,211
6934,79,212
1247,79,213
8636,79,214
3751,78,215
33493,78,216
594,77,217
46578,77,218
337,77,219
1625,77,220
1573,77,221
8874,77,222
3623,77,223
25,76,224
1225,76,225
6333,76,226
440,76,227
2700,76,228
91529,76,229
69122,76,230
3481,75,231
8665,75,232
2000,75,233
6016,75,234
3175,75,235
2692,75,236
6711,74,237
35836,74,238
368,74,239
1485,74,240
3994,73,241
109487,73,242
45722,72,243
3977,72,244
50872,72,245
1201,72,246
1028,71,247
6373,71,248
1079,71,249
99114,71,250
63082,71,251
40815,71,252
4034,70,253
1407,70,254
474,70,255
2985,70,256
3408,70,257
235,70,258
11,70,259
7147,69,260
89745,69,261
1278,69,262
520,69,263
923,69,264
1370,68,265
4979,68,266
266,68,267
48,68,268
1380,68,269
3753,68,270
2054,68,271
4262,67,272
2353,67,273
1544,67,274
36,67,275
2081,67,276
74458,67,277
2542,67,278
17,67,279
6863,66,280
1288,66,281
163,66,282
508,66,283
553,65,284
4246,65,285
2194,65,286
48385,65,287
56367,65,288
555,65,289
5481,65,290
70286,65,291
653,65,292
48774,64,293
1035,64,294
4447,64,295
353,64,296
55820,64,297
4025,64,298
2710,64,299
1234,64,300
786,64,301
1954,64,302
1090,63,303
5502,63,304
2657,63,305
435,63,306
56174,62,307
1127,62,308
158,62,309
1304,62,310
7143,62,311
3671,62,312
3421,62,313
173,62,314
41566,62,315
3081,62,316
1374,62,317
8644,61,318
3717,61,319
552,61,320
509,61,321
30793,61,322
3527,61,323
2640,61,324
5459,61,325
2321,61,326
51255,61,327
3253,61,328
466,60,329
596,60,330
1377,60,331
2006,60,332
5299,60,333
903,60,334
3471,60,335
2302,59,336
3033,59,337
1552,59,338
420,59,339
1199,59,340
1500,59,341
6378,59,342
6942,59,343
112852,59,344
33679,59,345
1252,59,346
68358,59,347
3535,59,348
2167,58,349
953,58,350
34162,58,351
1207,58,352
1230,58,353
69844,58,354
708,58,355
81845,58,356
5669,58,357
6502,58,358
370,58,359
1608,58,360
1394,58,361
73017,58,362
54001,58,363
80463,57,364
1276,57,365
2268,57,366
2470,57,367
2005,57,368
160,57,369
908,57,370
8641,57,371
1203,57,372
350,57,373
53125,56,374
1302,56,375
2671,56,376
1641,56,377
1777,56,378
4370,56,379
2599,56,380
2529,56,381
1148,56,382
2395,56,383
2804,55,384
78499,55,385
4720,55,386
2080,55,387
4308,55,388
5956,55,389
432,55,390
70,55,391
54503,55,392
4816,54,393
168,54,394
7,54,395
784,54,396
106782,54,397
91500,54,398
122904,54,399
4018,54,400
59784,54,401
2406,54,402
2572,54,403
71535,53,404
2701,53,405
76093,53,406
2712,53,407
172,53,408
1997,53,409
673,53,410
2947,53,411
49530,53,412
2078,53,413
1282,53,414
485,53,415
2699,53,416
3489,53,417
3911,53,418
45499,52,419
225,52,420
3,52,421
3552,52,422
3160,52,423
52973,52,424
1466,52,425
1639,52,426
30707,52,427
109374,52,428
6870,52,429
1645,51,430
4239,51,431
145,51,432
2100,51,433
4776,51,434
4848,51,435
1215,51,436
910,50,437
5010,50,438
116797,50,439
3785,50,440
33166,50,441
333,50,442
34048,50,443
8361,50,444
96079,50,445
2424,50,446
88125,50,447
34405,50,448
2105,50,449
8464,50,450
45447,49,451
2144,49,452
5,49,453
5464,49,454
661,49,455
4643,49,456
216,49,457
5991,49,458
3176,49,459
2641,49,460
2019,48,461
186,48,462
30749,48,463
3000,48,464
8784,48,465
745,48,466
1748,48,467
7458,48,468
2694,48,469
1275,48,470
134130,48,471
1729,48,472
2763,48,473
1358,47,474
1320,47,475
2539,47,476
122882,47,477
7293,47,478
1092,47,479
77561,47,480
8529,47,481
1367,47,482
899,47,483
783,47,484
4014,47,485
1921,47,486
81834,47,487
2717,47,488
2001,47,489
1994,47,490
5679,47,491
2076,46,492
4085,46,493
5902,46,494
64614,46,495
2002,46,496
54272,46,497
1884,46,498
5060,46,499
112,46,500
802,46,501
3752,46,502
47099,46,503
1396,46,504
44,46,505
5995,46,506
7254,46,507
196,45,508
4369,45,509
2890,45,510
4270,45,511
3863,45,512
920,45,513
1183,45,514
1722,45,515
1690,45,516
1907,45,517
616,45,518
2288,45,519
2294,45,520
31685,45,521
3255,45,522
4571,45,523
1371,45,524
4718,45,525
2023,45,526
2490,45,527
236,45,528
1266,45,529
1204,45,530
1250,45,531
6537,45,532
5377,44,533
79702,44,534
52722,44,535
1333,44,536
33004,44,537
913,44,538
849,44,539
3755,44,540
4975,44,541
37729,44,542
5903,44,543
46976,44,544
151,44,545
2085,44,546
111759,44,547
8798,44,548
3499,44,549
3624,43,550
1876,43,551
3275,43,552
1597,43,553
2455,43,554
60684,43,555
1376,43,556
76251,43,557
2407,43,558
47610,43,559
2605,43,560
2278,43,561
3363,43,562
497,43,563
252,43,564
2161,43,565
87232,43,566
852,43,567
1263,43,568
4310,43,569
1262,43,570
134853,43,571
8984,43,572
3448,43,573
1094,42,574
1375,42,575
91658,42,576
2724,42,577
69757,42,578
3868,42,579
431,42,580
1967,42,581
1372,42,582
441,42,583
81591,42,584
1088,42,585
1022,42,586
2273,42,587
1562,42,588
3210,42,589
355,42,590
261,42,591
785,42,592
2915,42,593
3301,42,594
1042,42,595
1909,42,596
59369,42,597
2968,41,598
5810,41,599
762,41,600
2003,41,601
57669,41,602
4299,41,603
3617,41,604
115617,41,605
7373,41,606
2087,41,607
1285,41,608
3916,41,609
3418,41,610
494,41,611
122886,41,612
1242,41,613
45517,41,614
55247,41,615
543,41,616
224,40,617
1228,40,618
3703,40,619
1233,40,620
4367,40,621
33615,40,622
1674,40,623
471,40,624
4223,40,625
529,40,626
6218,40,627
376,40,628
2541,40,629
98809,40,630
31658,40,631
6807,40,632
1032,40,633
1569,40,634
2193,40,635
44199,40,636
41569,40,637
282,40,638
2761,39,639
1274,39,640
2723,39,641
2746,39,642
1673,39,643
4148,39,644
40819,39,645
8949,39,646
6936,39,647
53996,39,648
1953,39,649
1408,39,650
2094,39,651
2248,39,652
8528,39,653
3300,39,654
1129,39,655
58998,39,656
2580,39,657
3174,39,658
6188,39,659
7451,39,660
3826,39,661
2951,39,662
27773,39,663
3082,39,664
61323,39,665
59615,39,666
2908,39,667
3039,39,668
112552,38,669
2289,38,670
7090,38,671
8533,38,672
8950,38,673
2124,38,674
2018,38,675
29,38,676
31,38,677
2420,38,678
91542,38,679
2770,38,680
51540,38,681
3702,38,682
79091,38,683
3362,38,684
44665,38,685
277,38,686
8972,38,687
315,38,688
5971,37,689
1093,37,690
92259,37,691
832,37,692
1020,37,693
55765,37,694
455,37,695
8622,37,696
4016,37,697
5266,37,698
8376,37,699
64957,37,700
2021,37,701
3967,37,702
58,37,703
112556,37,704
30810,37,705
1060,36,706
3101,36,707
345,36,708
3034,36,709
3510,36,710
1345,36,711
119145,36,712
22,36,713
6947,36,714
585,36,715
1059,36,716
3108,36,717
34150,36,718
2231,36,719
180,36,720
3247,36,721
671,36,722
2581,36,723
44195,36,724
4638,36,725
2948,36,726
902,36,727
193,35,728
805,35,729
1084,35,730
3409,35,731
31696,35,732
256,35,733
2427,35,734
63113,35,735
3809,35,736
38061,35,737
1029,35,738
914,35,739
7445,35,740
719,35,741
30812,35,742
628,35,743
60040,35,744
66097,35,745
1249,35,746
170,35,747
3361,35,748
36529,35,749
5254,34,750
39183,34,751
2140,34,752
4344,34,753
1287,34,754
45720,34,755
85414,34,756
327,34,757
60,34,758
69481,34,759
44555,34,760
64969,34,761
1261,34,762
1947,34,763
3882,34,764
524,34,765
54259,34,766
6287,34,767
4734,34,768
362,34,769
1172,34,770
4641,34,771
969,34,772
8807,34,773
64839,34,774
6708,34,775
86332,34,776
1663,34,777
3698,34,778
5673,33,779
2145,33,780
1882,33,781
5388,33,782
8957,33,783
1047,33,784
6534,33,785
2300,33,786
342,33,787
265,33,788
6754,33,789
3988,33,790
4015,33,791
837,33,792
3396,33,793
3555,33,794
610,33,795
2393,33,796
637,33,797
61132,33,798
53322,33,799
1918,33,800
1244,33,801
4874,33,802
2949,33,803
3681,33,804
1272,33,805
30825,33,806
102125,32,807
96610,32,808
72011,32,809
152081,32,810
2160,32,811
1911,32,812
1912,32,813
3285,32,814
4361,32,815
6157,32,816
6281,32,817
88140,32,818
88129,32,819
2944,32,820
68237,32,821
1644,32,822
5064,32,823
303,32,824
53972,32,825
104841,32,826
8970,32,827
3257,32,828
6541,32,829
8917,32,830
45,32,831
97938,31,832
61024,31,833
34319,31,834
2064,31,835
1405,31,836
65,31,837
2953,31,838
135,31,839
1747,31,840
110102,31,841
272,31,842
1566,31,843
3006,31,844
88163,31,845
5630,31,846
108932,31,847
1587,31,848
4446,31,849
4701,31,850
724,31,851
1717,31,852
4321,31,853
72641,31,854
46723,31,855
139385,31,856
4890,31,857
3386,31,858
3256,31,859
1805,31,860
38038,30,861
838,30,862
95167,30,863
111362,30,864
2501,30,865
2871,30,866
2058,30,867
348,30,868
1479,30,869
84152,30,870
95510,30,871
1267,30,872
2423,30,873
5219,30,874
2403,30,875
1271,30,876
56757,30,877
1373,30,878
7022,30,879
204,30,880
915,30,881
97921,30,882
106696,29,883
1339,29,884
60074,29,885
115149,29,886
246,29,887
1513,29,888
3825,29,889
1269,29,890
1831,29,891
898,29,892
3745,29,893
5444,29,894
743,29,895
2421,29,896
2485,29,897
2411,29,898
2384,29,899
3168,29,900
3273,29,901
1061,29,902
647,29,903
3450,29,904
94959,29,905
6155,29,906
2722,29,907
3740,28,908
2335,28,909
1299,28,910
1027,28,911
56782,28,912
968,28,913
82459,28,914
52,28,915
1223,28,916
24,28,917
3186,28,918
2243,28,919
4019,28,920
1077,28,921
74789,28,922
2788,28,923
2150,28,924
46970,28,925
4232,28,926
115713,28,927
5620,28,928
60756,28,929
273,28,930
198,28,931
97304,28,932
45186,28,933
3269,27,934
