movie_id,rank_group,year_bucket
356,1,4
318,1,4
296,1,4
593,1,5
2571,1,4
260,1,5
480,1,4
527,1,4
110,1,4
2959,1,4
589,1,5
1196,1,5
1,1,4
4993,1,4
50,1,4
1210,1,5
1198,1,5
2858,1,4
858,1,5
5952,1,3
7153,1,3
47,1,4
457,1,4
1270,1,5
780,1,4
150,1,4
608,1,4
32,1,4
2028,1,4
2762,1,4
3578,1,4
592,1,5
588,1,4
364,1,4
4306,1,4
380,1,4
590,1,5
58559,1,3
377,1,4
4226,1,4
1580,1,4
1704,1,4
79132,1,3
1240,1,5
1291,1,5
1197,1,5
1136,1,5
1721,1,4
1265,1,4
344,1,4
6539,1,3
648,1,4
1036,1,5
541,1,5
1214,1,5
1193,1,5
595,1,5
6377,1,3
1089,1,4
367,1,4
1097,1,5
4886,1,4
4973,1,4
597,1,5
500,1,4
1221,1,5
6874,1,3
1682,1,4
165,1,4
293,1,4
7361,1,3
1527,1,4
1213,1,5
3793,1,4
2716,1,5
2628,1,4
231,1,4
4963,1,4
4995,1,4
1200,1,5
34,1,4
2329,1,4
153,1,4
316,1,4
736,1,4
33794,1,3
8961,1,3
3147,1,4
5445,1,3
5349,1,3
2997,1,4
1258,1,5
1206,1,6
586,1,5
111,1,5
5418,1,3
924,1,6
778,1,4
587,1,5
7438,1,3
10,1,4
539,1,4
5989,1,3
1073,1,6
3996,1,4
1732,1,4
1961,1,5
349,1,4
1617,1,4
253,1,4
208,1,4
60069,1,3
4878,1,4
2918,1,5
912,1,6
750,1,6
357,1,4
3114,1,4
1208,1,5
39,1,4
4896,1,4
44191,1,3
1222,1,5
59315,1,3
48516,1,3
1923,1,4
68954,1,3
4011,1,4
4022,1,4
2683,1,4
1246,1,5
2706,1,4
292,1,4
919,1,6
329,1,4
72998,1,3
6,1,4
2115,1,5
2,1,4
1387,1,5
454,1,4
1968,1,5
2396,1,4
223,1,4
2324,1,4
2291,1,5
288,1,4
4027,1,4
1517,1,4
1784,1,4
68157,1,3
434,1,4
1307,1,5
6365,1,3
185,1,4
2011,1,5
2502,1,4
48780,1,3
1393,1,4
5618,1,4
1259,1,5
1917,1,4
109487,1,2
8368,1,3
1080,1,5
2355,1,4
2916,1,5
161,1,4
32587,1,3
21,1,4
1610,1,5
1219,1,6
339,1,4
3949,1,4
5816,1,3
551,1,4
2987,1,5
1653,1,4
2012,1,5
1584,1,4
19,1,4
1225,1,5
5378,1,3
2174,1,5
8636,1,3
99114,1,2
141,1,4
2791,1,5
54286,1,3
1220,1,5
1101,1,5
95,1,4
49272,1,3
2797,1,5
6711,1,3
8360,1,3
904,1,6
1573,1,4
8665,1,3
3948,1,4
6333,2,3
25,2,4
91529,2,2
508,2,4
6016,2,3
3897,2,4
48394,2,3
1079,2,5
17,2,4
8874,2,3
2710,2,4
2542,2,4
36,2,4
50872,2,3
104,2,4
1356,2,4
2617,2,4
923,2,6
63082,2,3
46578,2,3
788,2,4
300,2,4
2000,2,5
74458,2,3
2692,2,4
40815,2,3
51662,2,3
1485,2,4
3751,2,4
1247,2,6
33493,2,3
1625,2,4
55820,2,3
16,2,4
3623,2,4
56367,2,3
5218,2,3
1201,2,6
3408,2,4
442,2,4
62,2,4
6934,2,3
474,2,4
70286,2,3
594,2,6
3977,2,4
410,2,4
2700,2,4
1391,2,4
89745,2,2
1127,2,5
7147,2,3
8644,2,3
1676,2,4
337,2,4
3052,2,4
5995,2,3
11,2,4
4034,2,4
3481,2,4
1252,2,5
908,2,6
1090,2,5
3527,2,5
1407,2,4
1203,2,6
3994,2,4
1288,2,5
1370,2,5
134130,2,2
368,2,4
69122,2,3
2268,2,4
1230,2,5
6502,2,3
112852,2,2
353,2,4
1380,2,5
68358,2,3
2712,2,4
2054,2,5
45722,2,3
509,2,4
1207,2,6
2194,2,5
903,2,6
1544,2,4
4979,2,4
1374,2,5
266,2,4
7143,2,3
106782,2,2
317,2,4
1234,2,5
7254,2,3
1278,2,5
235,2,4
116797,2,2
1394,2,5
1199,2,5
2353,2,4
953,2,6
2985,2,5
555,2,4
786,2,4
1304,2,6
1148,2,4
1035,2,6
3753,2,4
6373,2,3
2081,2,5
1028,2,6
1552,2,4
4246,2,4
1641,2,4
48774,2,3
1997,2,5
3471,2,5
4262,2,5
1266,2,4
173,2,4
2640,2,5
1608,2,4
35836,2,3
1183,2,4
350,2,4
3081,2,4
920,2,6
2395,2,4
3175,2,4
81845,2,3
73017,2,3
78499,2,3
5459,2,3
784,2,4
51255,2,3
54001,2,3
553,2,4
2671,2,4
30707,2,3
4308,2,4
520,2,4
56174,2,3
163,2,4
69844,2,3
6863,2,3
70,2,4
81834,2,3
3253,2,4
80463,2,3
1777,2,4
370,2,4
420,2,4
4370,2,4
122904,2,2
1500,2,4
708,2,4
160,2,4
76093,2,3
2006,2,4
2302,2,4
832,2,4
5502,2,3
1673,2,4
1320,2,4
3176,2,4
91500,2,2
48385,2,3
2572,2,4
71535,2,3
5669,2,3
653,2,4
6942,2,3
134853,2,2
2321,2,4
1639,2,4
1233,2,5
81591,2,3
1645,2,4
122882,2,2
5010,2,4
88125,2,3
64614,2,3
6378,2,3
48,2,4
1377,2,4
2657,2,5
2019,2,6
2599,2,4
4720,2,4
435,2,4
2406,2,5
2001,2,5
1204,2,6
3000,2,4
2529,2,6
485,2,4
497,2,4
109374,2,2
54503,2,3
2167,2,4
2804,2,5
196,2,4
466,2,4
33679,2,3
112556,2,2
2699,2,5
145,2,4
3160,2,4
5299,2,3
5679,2,3
92259,2,3
4014,2,4
122886,2,2
596,2,6
2424,2,4
1358,2,4
1250,2,6
3535,2,4
115713,2,2
1376,2,5
3033,2,5
41566,2,3
30793,2,3
4447,2,4
4848,2,4
1729,2,4
111759,2,2
1215,2,4
4025,2,4
802,2,4
1302,2,5
1722,2,4
104841,2,2
49530,2,3
1282,2,6
745,2,4
913,2,6
1748,2,4
3448,2,5
172,2,4
2947,2,6
7,2,4
552,2,4
27773,2,3
60684,2,3
2470,2,5
1408,2,4
5060,2,6
2890,2,4
34405,2,3
1088,2,5
3418,2,5
2005,2,5
2003,2,5
47610,2,3
77561,2,3
1396,2,4
432,2,4
2273,2,4
2701,2,4
1333,2,6
3,2,4
1876,2,4
2763,2,4
151,2,4
225,2,4
1242,2,5
4018,2,4
5,2,4
6870,2,3
6537,2,3
910,2,6
3421,2,5
1276,2,6
4085,2,5
1690,2,4
69757,2,3
3785,2,4
30749,2,3
3717,2,4
8784,2,3
1275,2,5
1909,2,4
1094,2,4
33166,2,3
59369,2,3
543,2,4
53125,2,3
236,2,4
1263,2,5
3671,2,5
168,2,4
59784,2,3
